timestamp,actionType,actionID
2024-01-16-13:57:23.562,SEND,UtilAct::ENABLE_PROFILE
2024-01-16-13:57:23.565,RECV,SimAct::LOAD_MODEL
2024-01-16-13:57:23.632,SEND,SimAct::MODEL_SETTING
2024-01-16-13:57:23.632,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:57:23.633,SEND,SimAct::MODEL_SETTING
2024-01-16-13:57:23.634,RECV,UtilAct::PRIV_ACT
2024-01-16-13:57:23.641,SEND,UtilAct::PRIV_ACT
2024-01-16-13:57:23.648,RECV,SimAct::SET_MASK
2024-01-16-13:57:23.648,SEND,SimAct::SET_MASK
2024-01-16-13:57:23.649,RECV,SimAct::SET_MASK
2024-01-16-13:57:23.649,SEND,SimAct::SET_MASK
2024-01-16-13:57:23.649,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:30.617,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:30.843,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:30.844,SEND,[Unknown SimAct]
2024-01-16-13:57:30.844,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:30.844,SEND,[Unknown SimAct]
2024-01-16-13:57:30.844,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:57:30.845,SEND,SimAct::MODEL_SETTING
2024-01-16-13:57:30.845,RECV,UtilAct::PRIV_ACT
2024-01-16-13:57:30.851,SEND,UtilAct::PRIV_ACT
2024-01-16-13:57:30.857,RECV,SimAct::SET_MASK
2024-01-16-13:57:30.858,SEND,SimAct::SET_MASK
2024-01-16-13:57:30.858,RECV,SimAct::SET_MASK
2024-01-16-13:57:30.858,SEND,SimAct::SET_MASK
2024-01-16-13:57:30.859,RECV,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:37.224,SEND,SimAct::COMP_RESIST_IMAGE
2024-01-16-13:57:37.446,RECV,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:57:37.508,SEND,SimAct::COMP_OPTICAL_IMAGE
2024-01-16-13:57:37.734,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:37.734,SEND,[Unknown SimAct]
2024-01-16-13:57:37.734,RECV,SimAct::SET_NULL_MASK
2024-01-16-13:57:37.734,SEND,[Unknown SimAct]
2024-01-16-13:57:37.734,RECV,SimAct::DOMAIN_INFO
2024-01-16-13:57:37.735,SEND,SimAct::MODEL_SETTING
